time,city,row,lat,lon,id,title,start_ts,report_type,severity,lat_long,severity_quadratic,city,anomalous
2016-12-12 14:09:10,Chicago,1873,41.85003,-87.65005,8srTjXTA5hGu_aICZNc2RA,Midwest snow storm grounds hundreds of Chicago flights,2016-12-12 14:09:10,Other,medium,"(41.850029999999997, -87.650049999999993)",9.0,Chicago,1.0
2016-12-12 14:10:08,Chicago,1860,41.85003,-87.65005,RgX7r3TA5hGTuRzRy13KCQ,Midwest snow storm grounds hundreds of Chicago flights,2016-12-12 14:10:08,Other,medium,"(41.850029999999997, -87.650049999999993)",9.0,Chicago,1.0
2016-12-12 14:13:20,Hyderabad,2075,17.38405,78.45636,Wo+UInXA5hGa9xrRy13KCQ,150 bodies of residents of Telangana and Andhra Pradesh rotting in Saudi for a year,2016-12-12 14:13:20,Other,medium,"(17.384049999999998, 78.456360000000004)",9.0,Hyderabad,1.0
2016-12-12 14:17:48,Cairo,2019,30.06263,31.249670000000002,BqMHwnXA5hGGKRzRy13KCQ,Hundreds Protest in Front of Cairo’s Coptic Cathedral after Attack,2016-12-12 14:17:48,Other,moderate,"(30.062629999999999, 31.249670000000002)",4.0,Cairo,1.0
2016-12-12 15:05:22,İstanbul,2145,41.01384,28.949659999999998,vowtZ3zA5hGCBqQCZNc2RA,Turkey blasts claimed by Kurdish militants; country mourns,2016-12-12 15:05:22,Geopolitical,extreme,"(41.013840000000002, 28.949659999999998)",25.0,İstanbul,1.0
2016-12-12 15:05:29,İstanbul,2166,41.01384,28.949659999999998,YL21a3zA5hGwFRzRy13KCQ,Turkish Authorities Suspect PKK Behind Istanbul Attack,2016-12-12 15:05:29,Physical Threats,medium,"(41.013840000000002, 28.949659999999998)",9.0,İstanbul,1.0
2016-12-12 15:12:39,Homs,2237,34.5624,38.28402,Bh8CbH3A5hG+sqMCZNc2RA,"Some 80% of Palmyra Residents Evacuated, Rest Still in Danger",2016-12-12 15:12:39,Infrastructure,extreme,"(34.562399999999997, 38.284019999999998)",25.0,Homs,1.0
2016-12-12 15:13:42,Chennai,2243,13.08784,80.27847,aCFLkX3A5hGC+qMCZNc2RA,LIVE! Cyclone Vardah begins crossover from sea to coast,2016-12-12 15:13:42,Geopolitical,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 15:14:39,Homs,2256,34.5624,38.28402,Vp0os33A5hGVWxzRy13KCQ,Militants retake ancient city of Palmyra from Syrian forces,2016-12-12 15:14:39,Geopolitical,extreme,"(34.562399999999997, 38.284019999999998)",25.0,Homs,1.0
2016-12-12 15:18:08,Multān,2249,30.0,70.0,Zsw5MH7A5hGKvqMCZNc2RA,Taliban demands for cash stir fears of comeback in Pakistan's Swat Valley,2016-12-12 15:18:08,Infrastructure,moderate,"(30.0, 70.0)",4.0,Multān,1.0
2016-12-12 15:18:58,Asyūţ,2389,27.0,30.0,Fi4FTn7A5hGVXaMCZNc2RA,Blast near Cairo cathedral kills at least 25,2016-12-12 15:18:58,Physical Threats,medium,"(27.0, 30.0)",9.0,Asyūţ,1.0
2016-12-12 15:20:22,Los Angeles,2324,34.26945,-118.78148,ojYRgH7A5hGEiBnRy13KCQ,Man held for allegedly stabbing worshipper near mosque,2016-12-12 15:20:22,Crime,moderate,"(34.269449999999999, -118.78148)",4.0,Los Angeles,1.0
2016-12-12 15:20:28,Aleppo,2325,36.201240000000006,37.16117,ECZgg37A5hGdZxnRy13KCQ,No deal on safe exit for Aleppo opposition: Russia,2016-12-12 15:20:28,Other,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 15:20:54,Multān,2338,30.0,70.0,iJwbk37A5hGrY6QCZNc2RA,Pakistan army chief General Qamar Javed Bajwa appoints new head of ISI in major reshuffle,2016-12-12 15:20:54,Geopolitical,medium,"(30.0, 70.0)",9.0,Multān,1.0
2016-12-12 16:04:55,Melbourne,2454,-37.68015,144.91877,1BLOuITA5hGUGhvRy13KCQ,Police investigate suspicious blaze in Broadmeadows,2016-12-12 16:04:55,Natural Disaster,moderate,"(-37.680149999999998, 144.91876999999999)",4.0,Melbourne,1.0
2016-12-12 16:09:55,Aleppo,2526,36.201240000000006,37.16117,FADta4XA5hGYi6ICZNc2RA,Russian warplanes kill over 300 Syrians in Palmyra,2016-12-12 16:09:55,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 16:10:15,Tianshui,2505,35.0,105.0,hD7Yd4XA5hGZiRnRy13KCQ,Japan protests after China slams dangerous mid-air confrontation,2016-12-12 16:10:15,Geopolitical,moderate,"(35.0, 105.0)",4.0,Tianshui,1.0
2016-12-12 16:12:38,Hannover,2507,51.5,10.5,iKD+zIXA5hGQfhnRy13KCQ,Christian children being 'BULLIED and assaulted by Muslim migrants' in German city,2016-12-12 16:12:38,Other,moderate,"(51.5, 10.5)",4.0,Hannover,1.0
2016-12-12 16:14:07,Abu Dhabi,2567,24.48675,54.37121,5PLyAYbA5hG+8hvRy13KCQ,Bahrain: Release Rights Activist,2016-12-12 16:14:07,Geopolitical,moderate,"(24.486750000000001, 54.371209999999998)",4.0,Abu Dhabi,1.0
2016-12-12 16:17:54,Aleppo,2553,36.201240000000006,37.16117,gpqsiYbA5hGJXBzRy13KCQ,Government gains more ground in eastern Aleppo,2016-12-12 16:17:54,Public Health,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 16:18:14,Multān,2515,30.0,70.0,AK9olYbA5hGQKKECZNc2RA,Taliban demands for cash stir fears of comeback in Pakistan's Swat Valley,2016-12-12 16:18:14,Infrastructure,moderate,"(30.0, 70.0)",4.0,Multān,1.0
2016-12-12 17:09:31,London,2794,51.50853,-0.12574000000000002,KmaNv43A5hGU5KQCZNc2RA,"Woman, 32, from London among six arrested in anti-terror swoop",2016-12-12 17:09:31,Crime,moderate,"(51.50853, -0.12574000000000002)",4.0,London,1.0
2016-12-12 17:11:37,Charlotte,2807,34.00043,-81.00009,ekCVCo7A5hGnORzRy13KCQ,South Carolina police: Man killed amid gunfire with officers,2016-12-12 17:11:37,Crime,moderate,"(34.000430000000001, -81.00009)",4.0,Charlotte,1.0
2016-12-12 17:12:26,Cairo,2810,30.06263,31.249670000000002,JL2wJ47A5hGXsxzRy13KCQ,Bomb blast kills at least 25 at Cairo Coptic church,2016-12-12 17:12:26,Physical Threats,moderate,"(30.062629999999999, 31.249670000000002)",4.0,Cairo,1.0
2016-12-12 17:14:30,Cairo,2740,30.06263,31.249670000000002,6vqPcY7A5hG4chrRy13KCQ,Terror Attack Targets Women and Children at Main Christian Cathedral in Cairo,2016-12-12 17:14:30,Physical Threats,medium,"(30.062629999999999, 31.249670000000002)",9.0,Cairo,1.0
2016-12-12 17:16:36,Chennai,1263,13.08784,80.27847,wHXLvI7A5hGtW6QCZNc2RA,"Flights out of Chennai diverted, cancelled",2016-12-12 17:16:36,Other,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 17:19:28,Tianshui,2897,35.0,105.0,uHcVI4_A5hG+TRrRy13KCQ,Police ID man killed in Bronx shooting,2016-12-12 17:19:28,Physical Threats,moderate,"(35.0, 105.0)",4.0,Tianshui,1.0
2016-12-12 17:23:53,San Jose del Monte,3013,15.0,121.08333,putzwY_A5hG5xRvRy13KCQ,"Sunog sa tindahan ng damit, nag-iwan ng P2-M pinsala",2016-12-12 17:23:53,Infrastructure,moderate,"(15.0, 121.08333)",4.0,San Jose del Monte,1.0
2016-12-12 18:07:11,Chennai,2717,13.08784,80.27847,ckiTzZXA5hGaohnRy13KCQ,"Flights out of Chennai diverted, cancelled",2016-12-12 18:07:11,Other,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 18:07:14,Nagpur,2909,22.0,79.0,PPeQz5XA5hGwkqQCZNc2RA,To boldly go,2016-12-12 18:07:14,Infrastructure,medium,"(22.0, 79.0)",9.0,Nagpur,1.0
2016-12-12 18:07:16,Aleppo,2720,36.201240000000006,37.16117,mED50JXA5hG7mBnRy13KCQ,Syria army advances in Aleppo but rolled back in Palmyra,2016-12-12 18:07:16,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 18:08:01,Hannover,3004,51.5,10.5,ZsOX65XA5hGVV6MCZNc2RA,Germany closely looking on N. Korean airline's possible illicit activities: report,2016-12-12 18:08:01,Public Health,moderate,"(51.5, 10.5)",4.0,Hannover,1.0
2016-12-12 18:10:56,Chennai,3100,13.08784,80.27847,hszxU5bA5hGmQxnRy13KCQ,Cyclone Vardah lashes south India coast with 120km/h winds,2016-12-12 18:10:56,Geopolitical,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 18:11:09,Chennai,3117,13.08784,80.27847,utOfW5bA5hGDeh3Ry13KCQ,Cyclone Vardah: Rail and air services affected in Chennai,2016-12-12 18:11:09,Other,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 18:11:11,Chennai,3039,13.08784,80.27847,DvzlXJbA5hG9chvRy13KCQ,"Cyclonic Storm Vardah Hits Chennai Coast, People Evacuated to Relief Centers",2016-12-12 18:11:11,Infrastructure,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 18:17:36,Aleppo,3162,36.201240000000006,37.16117,vFdzQpfA5hGeSx3Ry13KCQ,Syrian troops take even more ground in rebel part of Aleppo,2016-12-12 18:17:36,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 19:00:00,İstanbul,3259,41.01384,28.949659999999998,GIF+Lp3A5hG70h3Ry13KCQ,Day of mourning in Turkey after 38 killed in Istanbul twin bombings,2016-12-12 19:00:00,Physical Threats,medium,"(41.013840000000002, 28.949659999999998)",9.0,İstanbul,1.0
2016-12-12 19:09:05,Chennai,3302,13.08784,80.27847,3ryLc57A5hGX2R7Ry13KCQ,"10 updates on Cyclone Vardah: Wind speed reduces, storm to move towards Karnata...",2016-12-12 19:09:05,Infrastructure,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 19:09:31,Aleppo,3069,36.201240000000006,37.16117,bgLFgp7A5hGM+R7Ry13KCQ,Vanishing civilians of Aleppo,2016-12-12 19:09:31,Other,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 19:10:27,Aleppo,3294,36.201240000000006,37.16117,7N51pJ7A5hGFG6ICZNc2RA,Syria Says Government Forces Now Control 98 Percent of Aleppo,2016-12-12 19:10:27,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 19:10:48,Oakland,3333,37.80437,-122.2708,wHrvsJ7A5hGUmxvRy13KCQ,US agency completes work at site of Oakland warehouse blaze,2016-12-12 19:10:48,Other,moderate,"(37.804369999999999, -122.27079999999999)",4.0,Oakland,1.0
2016-12-12 19:11:22,Oakland,3308,37.80437,-122.2708,eopNxZ7A5hG3CaICZNc2RA,US agency completes work at site of Oakland warehouse blaze,2016-12-12 19:11:22,Other,moderate,"(37.804369999999999, -122.27079999999999)",4.0,Oakland,1.0
2016-12-12 19:16:54,Los Angeles,3410,34.26945,-118.78148,sh0Mi5_A5hGfEBvRy13KCQ,Man held for allegedly stabbing worshipper near mosque,2016-12-12 19:16:54,Crime,moderate,"(34.269449999999999, -118.78148)",4.0,Los Angeles,1.0
2016-12-12 19:18:00,Abu Dhabi,3390,24.45843,54.369409999999995,ZpmHsp_A5hGCzR3Ry13KCQ,Bangladeshi Hindus Protest In Front Of White House,2016-12-12 19:18:00,Other,moderate,"(24.45843, 54.369409999999995)",4.0,Abu Dhabi,1.0
2016-12-12 20:05:07,Cleveland,3461,41.44894,-82.70796,5D2DR6bA5hG_CSHRy13KCQ,November round up of inmates,2016-12-12 20:05:07,Infrastructure,moderate,"(41.44894, -82.70796)",4.0,Cleveland,1.0
2016-12-12 20:05:23,Atlanta,3464,33.85844,-84.3402,Pj3VUKbA5hG7qyHRy13KCQ,"Intruder raises alarm, causes lock down",2016-12-12 20:05:23,Infrastructure,medium,"(33.858440000000002, -84.340199999999996)",9.0,Atlanta,1.0
2016-12-12 20:05:59,Tianshui,3474,35.0,105.0,KhKGZqbA5hGsdSHRy13KCQ,Japan protests against China's claims of dangerous conduct by fighter jets,2016-12-12 20:05:59,Other,moderate,"(35.0, 105.0)",4.0,Tianshui,1.0
2016-12-12 20:08:15,Chicago,3382,41.85003,-87.65005,GiB4t6bA5hGhEqMCZNc2RA,Midwest Snow Storm Grounds Hundreds Of Chicago Flights,2016-12-12 20:08:15,Natural Disaster,medium,"(41.850029999999997, -87.650049999999993)",9.0,Chicago,1.0
2016-12-12 20:08:21,Chicago,3520,41.85003,-87.65005,8pQiu6bA5hG3yqcCZNc2RA,Eppley flights canceled by Midwest snowstorm,2016-12-12 20:08:21,Other,moderate,"(41.850029999999997, -87.650049999999993)",4.0,Chicago,1.0
2016-12-12 20:12:26,İstanbul,3541,41.01384,28.949659999999998,xF5ETafA5hGl56UCZNc2RA,Kurdish Armed Group Assumes Responsibility for Istanbul Double Attack,2016-12-12 20:12:26,Physical Threats,high,"(41.013840000000002, 28.949659999999998)",16.0,İstanbul,1.0
2016-12-12 20:12:29,Multān,3602,30.0,70.0,mHigTqfA5hG2+R_Ry13KCQ,Pakistan army chief Bajwa removes ISI leader in major military reshuffle,2016-12-12 20:12:29,Geopolitical,medium,"(30.0, 70.0)",9.0,Multān,1.0
2016-12-12 20:12:41,Aleppo,3466,36.201240000000006,37.16117,5psTVqfA5hGIsyHRy13KCQ,Syrian military says it controls 98% of east Aleppo,2016-12-12 20:12:41,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 20:12:41,Chennai,3605,13.08784,80.27847,GKvwVafA5hGFBR_Ry13KCQ,"Flights, trains cancelled between Chennai and Bengaluru as cyclone Vardah intensifies",2016-12-12 20:12:41,Other,medium,"(13.08784, 80.278469999999999)",9.0,Chennai,1.0
2016-12-12 20:14:13,Atlanta,23,33.749,-84.38798,1Bf6jKfA5hGjPaUCZNc2RA,"Kandi Burruss Accuses Phaedra Parks Of Lying About Bomb Threat, Says Mama Joyce Needs A ...",2016-12-12 20:14:13,Physical Threats,moderate,"(33.749000000000002, -84.387979999999999)",4.0,Atlanta,1.0
2016-12-12 20:14:54,Cairo,3613,30.06263,31.249670000000002,HGUQpafA5hGGiiHRy13KCQ,Coptic Christian bomb attack victims’ grief-stricken relatives carry coffins of loved ones’ killed in Cairo blast,2016-12-12 20:14:54,Physical Threats,medium,"(30.062629999999999, 31.249670000000002)",9.0,Cairo,1.0
2016-12-12 20:14:59,Aleppo,3614,36.201240000000006,37.16117,nNs0qKfA5hGGiiHRy13KCQ,Islamic State on backfoot as Syrian army in 'final stages' to retake Aleppo,2016-12-12 20:14:59,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 20:16:02,Seoul,3584,37.566,126.9784,xGivzafA5hGz3yDRy13KCQ,Creativity or dirty commercialism? Absolut Vodka Korea cashes in on anti-president protest,2016-12-12 20:16:02,Geopolitical,moderate,"(37.566000000000003, 126.97839999999999)",4.0,Seoul,1.0
2016-12-12 20:16:33,Seoul,34,37.566,126.9784,aEEW4KfA5hGnLacCZNc2RA,South Korea PM to be briefed on state affairs as Park impeached,2016-12-12 20:16:33,Geopolitical,moderate,"(37.566000000000003, 126.97839999999999)",4.0,Seoul,1.0
2016-12-12 20:16:56,Seoul,3557,37.566,126.9784,eASu7afA5hG3ohnRy13KCQ,South Korea PM to be briefed on state affairs as Park impeached,2016-12-12 20:16:56,Geopolitical,moderate,"(37.566000000000003, 126.97839999999999)",4.0,Seoul,1.0
2016-12-12 20:16:58,Cheongju-si,3558,36.5,127.75,htL47qfA5hGU2RnRy13KCQ,South Korea temporarily bans movement of poultry to fight bird flu,2016-12-12 20:16:58,Public Health,moderate,"(36.5, 127.75)",4.0,Cheongju-si,1.0
2016-12-12 20:17:57,Bamenda,3638,6.0,12.5,jvgaEqjA5hGpyB_Ry13KCQ,Amnesty Demands Urgent Probe Into Excessive Use of Force on Anglophone Protesters,2016-12-12 20:17:57,Geopolitical,medium,"(6.0, 12.5)",9.0,Bamenda,1.0
2016-12-12 20:18:00,Seoul,3652,37.566,126.9784,NFAbFKjA5hGsDR_Ry13KCQ,South Korea PM to be briefed on state affairs as Park impeached,2016-12-12 20:18:00,Geopolitical,moderate,"(37.566000000000003, 126.97839999999999)",4.0,Seoul,1.0
2016-12-12 21:05:36,Abū Ghurayb,3702,33.0,44.0,auWJuq7A5hGCEwjRy13KCQ,Turkish warplanes hit Kurdish militant targets in northern Iraq: army,2016-12-12 21:05:36,Geopolitical,extreme,"(33.0, 44.0)",25.0,Abū Ghurayb,1.0
2016-12-12 21:06:09,Kampala,3695,1.25,32.5,cCrRza7A5hG4jZMCZNc2RA,Uganda: Uganda Gets Shs417 Billion for Electricity,2016-12-12 21:06:09,Other,moderate,"(1.25, 32.5)",4.0,Kampala,1.0
2016-12-12 21:09:48,Cairo,3776,30.06263,31.249670000000002,zvN7UK_A5hG2WgrRy13KCQ,Attack on Copts: Bombing kills at least 25 in Cairo church,2016-12-12 21:09:48,Physical Threats,extreme,"(30.062629999999999, 31.249670000000002)",25.0,Cairo,1.0
2016-12-12 21:10:03,Aleppo,3742,36.201240000000006,37.16117,pJ9aWa_A5hGLBZMCZNc2RA,"Over 13,000 Civilians Evacuated From Aleppo Regions in 24 Hours",2016-12-12 21:10:03,Infrastructure,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 21:11:46,Asyūţ,3783,27.0,30.0,9JoSl6_A5hGxY5QCZNc2RA,Egypt mourns 25 Christians killed in massive church bombing,2016-12-12 21:11:46,Physical Threats,medium,"(27.0, 30.0)",9.0,Asyūţ,1.0
2016-12-12 21:12:27,Oklahoma City,3805,35.46756,-97.51643,+Dtkr6_A5hGqpwnRy13KCQ,Celtics received bomb threat on flight to Oklahoma City,2016-12-12 21:12:27,Physical Threats,moderate,"(35.467559999999999, -97.51643)",4.0,Oklahoma City,1.0
2016-12-12 21:15:00,İstanbul,3869,41.01384,28.949659999999998,JvbFCrDA5hGTmArRy13KCQ,Police detain 20 opposition HDP members in Istanbul,2016-12-12 21:15:00,Crime,moderate,"(41.013840000000002, 28.949659999999998)",4.0,İstanbul,1.0
2016-12-12 21:15:45,İstanbul,3842,41.01384,28.949659999999998,cjlEJbDA5hGEewvRy13KCQ,Police detain 20 opposition HDP members in Istanbul,2016-12-12 21:15:45,Crime,moderate,"(41.013840000000002, 28.949659999999998)",4.0,İstanbul,1.0
2016-12-12 21:18:11,Tokyo,3811,35.685359999999996,139.75309,fsZJfLDA5hG4JQnRy13KCQ,Japan protests China over jet interference claim,2016-12-12 21:18:11,Other,moderate,"(35.685359999999996, 139.75308999999999)",4.0,Tokyo,1.0
2016-12-12 21:18:19,Preston,3813,56.0,-4.0,mlv9gLDA5hG4JQnRy13KCQ,"Warning to wash hands, not poultry, to avoid food poisoning",2016-12-12 21:18:19,Public Health,moderate,"(56.0, -4.0)",4.0,Preston,1.0
2016-12-12 21:21:44,Wichita,3932,39.76,-98.5,pDJq+7DA5hGUvwnRy13KCQ,US airstrike leaves 7 ISIS militants dead in East of Afghanistan,2016-12-12 21:21:44,Physical Threats,medium,"(39.759999999999998, -98.5)",9.0,Wichita,1.0
2016-12-12 21:22:30,Wichita,3909,39.76,-98.5,wPyLFrHA5hGw8JECZNc2RA,"Fearing Trump crackdown, dreamers advised to end travel",2016-12-12 21:22:30,Other,moderate,"(39.759999999999998, -98.5)",4.0,Wichita,1.0
2016-12-12 21:23:47,Wichita,3947,39.76,-98.5,NoCCRLHA5hGiHQnRy13KCQ,"Fearing Trump crackdown, dreamers advised to end travel",2016-12-12 21:23:47,Other,moderate,"(39.759999999999998, -98.5)",4.0,Wichita,1.0
2016-12-12 22:11:36,Tokyo,3980,35.685359999999996,139.75309,KNqL8rfA5hGW5wvRy13KCQ,Japan denies Chinese claim of dangerous fighter-jet conduct,2016-12-12 22:11:36,Geopolitical,moderate,"(35.685359999999996, 139.75308999999999)",4.0,Tokyo,1.0
2016-12-12 22:13:28,Chennai,4024,13.08784,80.27847,hqFuNbjA5hG5zArRy13KCQ,Cyclone Vardah: Rail and air services affected in Chennai,2016-12-12 22:13:28,Other,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 22:15:12,Kampala,4009,1.25,32.5,wNaic7jA5hGLsgrRy13KCQ,Uganda: Army Says King Mumbere Has Camps in DR Congo,2016-12-12 22:15:12,Other,moderate,"(1.25, 32.5)",4.0,Kampala,1.0
2016-12-12 22:17:16,Kampala,4053,0.31628,32.582190000000004,muBHvbjA5hGReZQCZNc2RA,Uganda: 'Women in Big Offices Beating Up Husbands',2016-12-12 22:17:16,Physical Threats,moderate,"(0.31628000000000001, 32.582190000000004)",4.0,Kampala,1.0
2016-12-12 22:21:39,Aleppo,54,36.201240000000006,37.16117,pH5cWrnA5hGM7pECZNc2RA,Syrian army moves closer to complete recapture of Aleppo,2016-12-12 22:21:39,Geopolitical,medium,"(36.201240000000006, 37.161169999999998)",9.0,Aleppo,1.0
2016-12-12 22:21:42,Aleppo,4043,36.201240000000006,37.16117,zNCpW7nA5hGXRwjRy13KCQ,Syrian army moves closer to complete recapture of Aleppo,2016-12-12 22:21:42,Geopolitical,medium,"(36.201240000000006, 37.161169999999998)",9.0,Aleppo,1.0
2016-12-12 22:22:27,Tianshui,4067,35.0,105.0,yAaedrnA5hGaJ5ICZNc2RA,Kenya: Conspiracy against travellers going upcountry for Christmas,2016-12-12 22:22:27,Crime,moderate,"(35.0, 105.0)",4.0,Tianshui,1.0
2016-12-12 22:22:29,Aleppo,4107,36.201240000000006,37.16117,3Fvod7nA5hG9QAnRy13KCQ,"13k+ civilians freed from E. Aleppo in 24 hours, 700 fighters lay down arms – Russian Def Min",2016-12-12 22:22:29,Physical Threats,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 22:22:53,Wichita,4109,39.76,-98.5,GpsRhrnA5hGZCAnRy13KCQ,De Lima leaves country amid protests,2016-12-12 22:22:53,Public Health,moderate,"(39.759999999999998, -98.5)",4.0,Wichita,1.0
2016-12-12 22:23:07,Wichita,4181,39.76,-98.5,jqxljrnA5hGntQnRy13KCQ,American Arms Fanning Flames of Regional Tensions: Analyst,2016-12-12 22:23:07,Physical Threats,moderate,"(39.759999999999998, -98.5)",4.0,Wichita,1.0
2016-12-12 22:23:09,Wichita,4182,39.76,-98.5,Uoquj7nA5hGh5gnRy13KCQ,American Arms Fanning Flames of Regional Tensions: Analyst,2016-12-12 22:23:09,Physical Threats,moderate,"(39.759999999999998, -98.5)",4.0,Wichita,1.0
2016-12-12 22:23:18,Aleppo,4185,36.201240000000006,37.16117,MBBFlbnA5hGZcAnRy13KCQ,Sidelined in Syria: US Irked by 'Success of Moscow and Damascus in Aleppo',2016-12-12 22:23:18,Other,moderate,"(36.201240000000006, 37.161169999999998)",4.0,Aleppo,1.0
2016-12-12 22:23:47,Aleppo,4164,36.201240000000006,37.16117,JCqFprnA5hGLWZMCZNc2RA,Syrian forces retake 90 percent of eastern Aleppo: Monitor,2016-12-12 22:23:47,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
2016-12-12 22:23:50,Chennai,4187,13.08784,80.27847,jM5YqLnA5hG7BQnRy13KCQ,LIVE: Cyclone Vardah expected to make landfall between 2 pm to 5 pm in Chennai,2016-12-12 22:23:50,Other,moderate,"(13.08784, 80.278469999999999)",4.0,Chennai,1.0
2016-12-12 22:24:44,Aleppo,4190,36.201240000000006,37.16117,dqGoyLnA5hGrdwnRy13KCQ,Rebel forces down to final few districts in east Aleppo,2016-12-12 22:24:44,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25.0,Aleppo,1.0
